pub,new_classification
Mutational analysis of microsatellite-stable gastrointestinal cancer with high tumour mutational burden: a retrospective cohort study,Sustainability-Inclusive
Large-scale analysis of CDH1 mutations defines a distinctive molecular subset with treatment implications in gastric cancer,Sustainability-Inclusive
Molecular characterization of appendiceal goblet cell carcinoid,SDG-Related
The structure-function relationship of oncogenic LMTK3,SDG-Related
Comprehensive genomic profiling of gastroenteropancreatic neuroendocrine neoplasms (GEP-NENs),SDG-Related
Immunogenic cell death pathway polymorphisms for predicting oxaliplatin efficacy in metastatic colorectal cancer,SDG-Related
The impact of ARID1A mutation on molecular characteristics in colorectal cancer,SDG-Related
A polymorphism within the R-spondin 2 gene predicts outcome in metastatic colorectal cancer patients treated with FOLFIRI/bevacizumab: data from FIRE-3 and TRIBE trials,SDG-Related
Random survival forests identify pathways with polymorphisms predictive of survival in KRAS mutant and KRAS wild-type metastatic colorectal cancer patients,SDG-Related
Clinical significance of circulating tumor cell induced epithelial-mesenchymal transition in patients with metastatic colorectal cancer by single-cell rna-sequencing,SDG-Related
Large-scale analysis of KMT2 mutations defines a distinctive molecular subset with treatment implication in gastric cancer,SDG-Related
Germ line polymorphisms of genes involved in pluripotency transcription factors predict efficacy of cetuximab in metastatic colorectal cancer,SDG-Related
The landscape of alterations in DNA damage response pathways in colorectal cancer,SDG-Related
"RNA-binding protein polymorphisms as novel biomarkers to predict outcomes of metastatic colorectal cancer: A meta-analysis from TRIBE, FIRE-3, and MAVERICC",SDG-Related
Clinical significance of enterocyte-specific gene polymorphisms as candidate markers of oxaliplatin-based treatment for metastatic colorectal cancer,SDG-Related
Clocking cancer: the circadian clock as a target in cancer therapy,SDG-Related
Neurotransmitter signaling: a new frontier in colorectal cancer biology and treatment,SDG-Related
Genetic variants involved in the cGAS-STING pathway predict outcome in patients with metastatic colorectal cancer: Data from FIRE-3 and TRIBE trials,SDG-Related
Germline Polymorphisms in Genes Involved in the Antioxidant System Predict the Efficacy of Cetuximab in Metastatic Colorectal Cancer Patients Enrolled in FIRE-3 Trial,SDG-Related
Reprogramming CBX8-PRC1 function with a positive allosteric modulator,SDG-Related
Molecular characteristics and clinical outcomes of patients with Neurofibromin 1-altered metastatic colorectal cancer,SDG-Related
Germline polymorphisms in genes maintaining the replication fork predict the efficacy of oxaliplatin and irinotecan in patients with metastatic colorectal cancer,SDG-Related
fdrci: FDR confidence interval selection and adjustment for large-scale hypothesis testing,SDG-Related
Breast cancer and neurotransmitters: emerging insights on mechanisms and therapeutic directions,SDG-Related
CCR5 and CCL5 gene expression in colorectal cancer: Comprehensive profiling and clinical value,SDG-Related
Predictive value of CDC37 gene expression for targeted therapy in metastatic colorectal cancer,SDG-Related
Exploring Predictive and Prognostic Biomarkers in Colorectal Cancer: A Comprehensive Review,SDG-Related
Role of CD47 gene expression in colorectal cancer: a comprehensive molecular profiling study,SDG-Related
Anatomy of strike-slip fault tsunami genesis,Sustainability-Inclusive
"Supershear shock front contribution to the tsunami from the 2018 Mw7.5 Palu, Indonesia earthquake",Sustainability-Inclusive
Scalability of cardiovascular intrinsic frequencies: Validations in preclinical models and non-invasive clinical studies,Sustainability-Inclusive
Dynamic Effects of Aortic Arch Stiffening on Pulsatile Energy Transmission to Cerebral Vasculature as A Determinant of Brain-Heart Coupling,SDG-Related
A stable high-order FC-based methodology for hemodynamic wave propagation,SDG-Related
Effects of vessel wall mechanics on non-invasive evaluation of cardiovascular intrinsic frequencies,SDG-Related
Accuracy and applicability of non-invasive evaluation of aortic wave intensity using only pressure waveforms in humans,SDG-Related
Thermal and Postural Effects on Fluid Mixing and Irrigation Patterns for Intraventricular Hemorrhage Treatment,SDG-Related
A Fourier-based methodology without numerical diffusion for conducting dye simulations and particle residence time calculations,SDG-Related
Mechanistic insights on age-related changes in heart-aorta-brain hemodynamic coupling using a pulse wave model of the entire circulatory system,SDG-Related
Direct 0D-3D coupling of a lattice Boltzmann methodology for fluid–structure aortic flow simulations,Not-Related
Large-scale annotated dataset for cochlear hair cell detection and classification,Sustainability-Inclusive
Development of an improved inhibitor of Lats kinases to promote regeneration of mammalian organs,SDG-Related
Obtaining High-Quality Cryosections of Whole Rabbit Eye,SDG-Related
Long-term expandable mouse and human-induced nephron progenitor cells enable kidney organoid maturation and modeling of plasticity and disease,SDG-Related
Identifying individual and environmental predictors of opioid and psychostimulant use among adolescents and young adults following outpatient treatment,Sustainability-Inclusive
Child protection involvement among homeless families,Sustainability-Inclusive
Measuring the Incidence of Child Maltreatment Using Linked Data: A Two-State Comparison,Sustainability-Inclusive
Correlates of entry into congregate care among a cohort of California foster youth,Sustainability-Inclusive
Influences of victimization and comorbid conditions on latency to illicit drug use among adolescents and young adults,Sustainability-Inclusive
Mental health symptoms among American veterans during the COVID-19 Pandemic,Sustainability-Inclusive
Changes in alcohol use during the COVID-19 pandemic among American veterans,Sustainability-Inclusive
Infant deaths from medical causes after a maltreatment report,Sustainability-Inclusive
A Population-Based Examination of Suicide and Child Protection System Involvement,Sustainability-Inclusive
Sex differences in factors predicting post-treatment opioid use,Sustainability-Inclusive
A population-based case control study of suicide among youth reported for abuse and neglect,Sustainability-Inclusive
"Cumulative rates of child protection involvement and terminations of parental rights in a California birth cohort, 1999–2017",Sustainability-Inclusive
Comparing the Effectiveness of Three Substance Use Interventions for Youth With and Without Homelessness Experiences Prior to Treatment,Sustainability-Inclusive
"Community disadvantage, family socioeconomic status, and racial/ethnic differences in maltreatment reporting risk during infancy",Sustainability-Inclusive
Rates of Emotional Disturbance Among Children in Foster Care: Comparing Federal Child Welfare Data and Medicaid Records in Two States,Sustainability-Inclusive
Predictors of Maternal Recidivism in the Child Protection System,Sustainability-Inclusive
A Population-Level Examination of Incarcerated Women and Mothers Before and After the California Public Safety Realignment Act,Sustainability-Inclusive
A Population-Based Study of Mental Health Diagnoses and Child Protection System Involvement Among Medicaid-Insured Children,Sustainability-Inclusive
Changes in Household Challenges and Subsequent Child Welfare Report,Sustainability-Inclusive
Caseworker documentation of mothers in foster care: A case study in California,Sustainability-Inclusive
Longitudinal Associations between Homelessness and Substance Use: Investigating Demographic Differences for Young Adults in Treatment,Sustainability-Inclusive
"Longitudinal associations among experiences of sexual assault, posttraumatic stress disorder symptoms, and heavy drinking in young adults",Sustainability-Inclusive
"Directional Associations Between Posttraumatic Stress Disorder Symptoms and Cannabis Use in Young Adults: Uncovering Variation by Sex, Race, and Ethnicity",Sustainability-Inclusive
Identifying risk of child welfare involvement in Orange County births with the Bridges Program,Sustainability-Inclusive
U.S. State rates of newborns reported to child protection at birth for prenatal substance exposure,Sustainability-Inclusive
Exploring predictors of substance use disorder treatment engagement with machine learning: The impact of social determinants of health in the therapeutic landscape,Sustainability-Inclusive
The Reciprocal Relationship between Instrumental Support from Children and Self-Rated Health among Older Adults over Time in Rural China,SDG-Related
"Associations between symptoms of posttraumatic stress disorder, pain, and alcohol use disorder among OEF/OIF/OND veterans",SDG-Related
Engaging Families in Voluntary Prevention Services to Reduce Future Child Abuse and Neglect: a Randomized Controlled Trial,SDG-Related
The Children's Data Network: Harnessing the scientific potential of linked administrative data to inform children's programs and policies,SDG-Related
Directional associations between cannabis use and anxiety symptoms from late adolescence through young adulthood,SDG-Related
Changes in perceived stress during the COVID-19 pandemic among American veterans,SDG-Related
Characterising academically At-Risk students using vital birth records: A Population-Based examination,SDG-Related
"What's sleep got to do with it? Longitudinal associations between insomnia, PTSD, and alcohol use among U.S. Veterans",SDG-Related
Maltreatment Type Classifications and Transitions During Childhood for a California Birth Cohort,SDG-Related
"Childhood adversity, combat experiences, and military sexual trauma: A test and extension of the stress sensitization hypothesis",SDG-Related
Directional associations between cannabis use and depression from late adolescence to young adulthood: the role of adverse childhood experiences,SDG-Related
"Longitudinal associations between insomnia, cannabis use and stress among US veterans",SDG-Related
Bidirectional Associations Between Pain and Perceived Stress Among Veterans: Depressive Disorder as a Predisposing Factor,SDG-Related
General cognitive ability assessment in the German National Cohort (NAKO)–The block-adaptive number series task,Not-Related
High Spirits? Exploring “Halloweekend” Alcohol and Cannabis Use Among Heavy-Drinking College Students,Not-Related
An open-source probabilistic record linkage process for records with family-level information: Simulation study and applied analysis,Not-Related
"Military Sexual Trauma, Childhood Trauma, and Combat Trauma: Associations With Longitudinal Posttraumatic Growth Among U.S. Veterans",Not-Related
Donor matters: Donor selection impact on hematopoietic stem cell transplantation outcomes in Hispanic patients with B-cell acute lymphocytic leukemia: Insights from a myeloablative HSCT study,Sustainability-Inclusive
The importance of understanding the stages of covid-19 in treatment and trials,SDG-Related
Unique Challenges to Diagnosing Human Herpesvirus-6 (HHV-6) Encephalitis Following Post-Hematopoietic Stem Cell Transplant: A Case and Brief Review,SDG-Related
Real world experience: Examining outcomes using letermovir for CMV prophylaxis in high-risk allogeneic hematopoietic stem cell patients in the setting of using T-cell depletion as GVHD prophylaxis,SDG-Related
Expert consensus on microtransplant for acute myeloid leukemia in elderly patients -report from the international microtransplant interest group,SDG-Related
Unique challenges to diagnosing sweet syndrome following induction chemotherapy for relapsed Acute Myeloid Leukemia (AML): A case and brief-review,SDG-Related
Concordance of Next-Generation Sequencing and Multiparametric Flow Cytometry Methods for Detecting Measurable Residual Disease in Adult Acute Lymphoblastic Leukemia: Optimizing Prediction of Clinical Outcomes From a Single-Center Study,SDG-Related
Case report: Pulse cyclophosphamide for treatment of multi-agent-refractory hepatic graft-versus-host disease,SDG-Related
Graft Versus Host Disease Prophylaxis in Matched Donor Stem Cell Transplantation: Post-transplantation Cyclophosphamide Combinations Versus Methotrexate/Tacrolimus,SDG-Related
Philadelphia-like B-cell acute lymphoblastic leukaemia: Disease features and outcomes in the era of immunotherapy,SDG-Related
Combination Therapy With Asciminib and Ponatinib as a Bridge to Brexucabtagene Autoleucel and Maintenance in a Patient With Relapsed Refractory Philadelphia Positive B-Cell Acute Lymphoblastic Leukemia,SDG-Related
"Evaluation of seismic and tsunami resistance of potential shelters for vertical evacuation in case of a tsunami impact in bahia de carÁquez, central coast of Ecuador",Sustainability-Inclusive
"Field observations of Hurricane Ian's wave and surge impact in the areas of Fort Myers Beach and Sanibel Island, USA",Sustainability-Inclusive
"The proposed design of a smart parking area as a multiple use building for the eventual vertical evacuation in case of tsunami impacts in salinas, Ecuador",SDG-Related
IMPACT AND RESPONSE IN CENTRAL AND SOUTH AMERICA DUE TO THE TSUNAMI GENERATED BY THE SUBMARINE ERUPTION OF HUNGA TONGA-HUNGA HA’APAI VOLCANO,SDG-Related
Polymorphisms within immune regulatory pathways predict cetuximab efficacy and survival in metastatic colorectal cancer patients,SDG-Related
A polymorphism in the cachexia-associated gene INHBA predicts efficacy of regorafenib in patients with refractory metastatic colorectal cancer,SDG-Related
Epidermal growth factor receptor mRNA expression: A potential molecular escape mechanism from regorafenib,SDG-Related
Partition: A surjective mapping approach for dimensionality reduction,SDG-Related
Role of enterocyte-specific gene polymorphisms in response to adjuvant treatment for stage III colorectal cancer,SDG-Related
Single nucleotide polymorphisms in miRNA binding sites of nucleotide excision repair-related genes predict clinical benefit of oxaliplatin in folfoxiri plus bevacizumab: Analysis of the tribe trial,SDG-Related
Molecular differences between lymph nodes and distant metastases compared with primaries in colorectal cancer patients,SDG-Related
Potential molecular cross talk among CCR5 pathway predicts regorafenib responsiveness in metastatic colorectal cancer patients,SDG-Related
Human-specific polymorphic pseudogenization of SIGLEC12 protects against advanced cancer progression,SDG-Related
Molecular profiling of signet-ring-cell carcinoma (SRCC) from the stomach and colon reveals potential new therapeutic targets,SDG-Related
An Interpolity Legal Regime in the eighteenth century: Procedural law of prize,Sustainability-Inclusive
Ideas of Revolution in the Age of Atlantic Revolutions,SDG-Related
The Impact of Race/Ethnicity on the Outcomes of Burn Patients: A Systematic Review of the Literature,Sustainability-Inclusive
The state of burn care training during plastic surgery residency,Sustainability-Inclusive
Evaluating the safety and efficacy of intraoperative enteral nutrition in critically ill burn patients: A systematic review and meta-analysis,Sustainability-Inclusive
The homelessness crisis and burn injuries: A cohort study,Sustainability-Inclusive
Stimulant abuse in burn patients is associated with an increased use of hospital resources,Sustainability-Inclusive
A systematic review of machine learning and automation in burn wound evaluation: A promising but developing frontier,Sustainability-Inclusive
Homeless tent fires: A descriptive analysis of tent fires in the homeless population,Sustainability-Inclusive
The Impact of Peer Support Group Programs on Psychosocial Outcomes for Burn Survivors and Caregivers: A Review of the Literature,Sustainability-Inclusive
The Impact of No Next of Kin Decision Makers on End-of-Life Care,Sustainability-Inclusive
"A comparison of negative pressure wound therapy modalities, VAC versus non-commercial NPWT alternatives: A systematic review of RCTs/CCTs",Sustainability-Inclusive
Peer Support Groups: Identifying Disparities to Improve Participation,Sustainability-Inclusive
Burn Patient Insurance Status Influences Hospital Discharge Disposition and Utilization of Postdischarge Outpatient Care,Sustainability-Inclusive
Comparative Evaluation of the Electronic Residency Application Service Versus the Plastic Surgery Common Application to a Single Institution in the 2022 Integrated Plastic Surgery Match,Sustainability-Inclusive
Race and Ethnicity Influences Outcomes of Adult Burn Patients,Sustainability-Inclusive
Gaps in plastic surgery training: A comparative literature review of assessment tools in plastic surgery and general surgery,Sustainability-Inclusive
Identifying Populations at Risk for Difficulty Managing Emotions and Social Interactions After Burn Injury,Sustainability-Inclusive
Worse Itch and Fatigue in Racial and Ethnic Minorities: A Burn Model System Study,Sustainability-Inclusive
Psychiatric Illness and Substance Abuse: Unaddressed Factors in Burn Injury,Sustainability-Inclusive
Minority pediatric burn survivors undergo more burn operations: A single center's five-year experience,Sustainability-Inclusive
Physical and psychosocial outcomes among burn-injured people with heterotopic ossification: A burn model system study,Sustainability-Inclusive
Injury Pattern Analysis to Optimize Burn Injury Prevention in the Unhoused Community,Sustainability-Inclusive
Social Distancing or Socially Dividing? A Greater Proportion of Vulnerable Patients Admitted to a Metropolitan Burn Center During the COVID-19 Pandemic,Sustainability-Inclusive
Lower Admission Prealbumin and Albumin Levels in Unhoused Burn Patients Is a Marker for Poorer Outcomes,Sustainability-Inclusive
"Trends in Pediatric Electronic Device–Related Burns: An Investigation of 21,962 Cases",Sustainability-Inclusive
Factors associated with delayed admission to the burn unit: A major burn center's experience,Sustainability-Inclusive
Pediatric Patients with Postburn Amputations Report Worse Long-term Physical Function but Not Self-Appearance: A Burn Model System Study,Sustainability-Inclusive
"Analyzing Burn-Related Content on Social Media Platforms: A Study of Creator Types, Content Focus, and Engagement Metrics",Sustainability-Inclusive
Pediatric Burn Unit Admission is Associated with School Holidays and Lower Home Childhood Opportunity Level,Sustainability-Inclusive
Food Security: An Unmet Need in Outpatient Burn Care,Sustainability-Inclusive
The predictive capacity of American society of anesthesiologists physical status (asa ps) score in burn patients,SDG-Related
Early patient deaths after transfer to a regional burn center,SDG-Related
Small pediatric burns can be safely managed on an outpatient basis,SDG-Related
Techniques for Patient Positioning during Burn Surgery: A Systematic Review,SDG-Related
The Patient's Perspective: Burn Reconstructive Surgery during the COVID-19 Pandemic,SDG-Related
Use of Infrared Thermography for Assessment of Burn Depth and Healing Potential: A Systematic Review,SDG-Related
A fatal case of toxic epidermal necrolysis combined with vanishing bile duct syndrome and hemophagocytic lymphohistiocytosis,SDG-Related
Hypoglycemic episodes predict length of stay in patients with acute burns,SDG-Related
Fractional CO2 laser treatment for burn scar improvement: A systematic review and meta-analysis,SDG-Related
DL4Burn: Burn Surgical Candidacy Prediction using Multimodal Deep Learning,SDG-Related
Venous Thromboembolism Chemoprophylaxis in Burn Patients: A Literature Review and Single-Institution Experience,SDG-Related
Nonpharmacologic Management of Procedural Pain in Pediatric Burn Patients: A Systematic Review of Randomized Controlled Trials,SDG-Related
Mucormycosis following burn injuries: A systematic review,SDG-Related
Long-Term Pulmonary Sequelae after Inhalation Injury: A Retrospective Case-Control Study,SDG-Related
Use of Female External Urinary Catheters in a Burn Intensive Care Unit: Benefits and Challenges,SDG-Related
Invasive squamous cell carcinoma of the breast associated with breast augmentation implant capsule,SDG-Related
Blood glucose control in the burn intensive care unit: A narrative review of literature,SDG-Related
Combining scar-modulating agents for the treatment of hypertrophic scars and keloids: A systematic review,SDG-Related
Using a Fluid Resuscitation Algorithm to Reduce the Incidence of Abdominal Compartment Syndrome in the Burn Intensive Care Unit,SDG-Related
Treatment of Hypertrophic Burn Scars With Laser Therapy A Review of Adverse Events,SDG-Related
Neuropathic pain in burn patients – A common problem with little literature: A systematic review,SDG-Related
Neuropathic Pain after Burn Injury: A Severe and Common Problem in Recovery,SDG-Related
Laser-Assisted Drug Delivery in the Treatment of Hypertrophic Scars and Keloids: A Systematic Review,SDG-Related
Grill-Related Burn Injuries: A Matched Cohort Study,SDG-Related
Hydroxocobalamin is not associated with methemoglobinemia in patients with inhalation injury and suspected cyanide toxicity and a proposed algorithm for hydroxocobalamin administration,SDG-Related
Navigating Scar Care: An Evaluation of Scar Treatment Patient Education Materials,SDG-Related
Assessing Scar Outcomes Using Objective Scar Measurement Tools: An Adjunct to Validated Scar Evaluation Scales,SDG-Related
Surgical Management of Diabetic Foot Burns Is Associated With Poor Outcomes: A Systematic Review and Meta-Analysis,SDG-Related
Factors Associated with Self-Reported Voice Change in the Hospitalized Burn Population: A Burn Model System National Database Study,SDG-Related
Management of Vulvovaginal Stevens-Johnson Syndrome and Toxic Epidermal Necrolysis,SDG-Related
A Scoping Review of PTSD and Depression in Adult Burn Patients: A Call for Standardized Screening and Intervention Research,SDG-Related
Maternal gut microbes shape the early-life assembly of gut microbiota in passerine chicks via nests,Sustainability-Inclusive
Conserved regulatory switches for the transition from natal down to juvenile feather in birds,Sustainability-Inclusive
Folding Keratin Gene Clusters during Skin Regional Specification,SDG-Related
Cyclic growth of dermal papilla and regeneration of follicular mesenchymal components during feather cycling,SDG-Related
Regional specific differentiation of integumentary organs: SATB2 is involved in α- and β-keratin gene cluster switching in the chicken,SDG-Related
Adaptive patterning of vascular network during avian skin development: Mesenchymal plasticity and dermal vasculogenesis,SDG-Related
Making region-specific integumentary organs in birds: evolution and modifications,Not-Related
Chicken HOXC8 and HOXC10 genes may play a role in the altered skull morphology associated with the Crest phenotype,Not-Related
"Orthogonal Fault Rupture and Rapid Postseismic Deformation Following 2019 Ridgecrest, California, Earthquake Sequence Revealed From Geodetic Observations",Sustainability-Inclusive
Tsunami excitation in the outer wedge of global subduction zones,Sustainability-Inclusive
"Slip complementarity and triggering between the foreshock, mainshock, and afterslip of the 2019 ridgecrest rupture sequence",Not-Related
Outlier-insensitive Bayesian inference for linear inverse problems (OutIBI) with applications to space geodetic data,Not-Related
What Kind of Support Do Astronauts Need for Maintenance Tasks in Space Habitats? A Survey Study,Sustainability-Inclusive
Human Autonomy Teaming for Task Execution Support in Next Generation Deep Space Habitats,Sustainability-Inclusive
Sources of cannabis among young adults and associations with cannabis-related outcomes,Sustainability-Inclusive
"Polysubstance use among youth experiencing homelessness: The role of trauma, mental health, and social network composition",Sustainability-Inclusive
Gender and Sexual Identities Predicting Patterns of Co-occurring Health Risks Among Sexual Minority Youth: a Latent Class Analysis Approach,Sustainability-Inclusive
Influences of victimization and comorbid conditions on substance use disorder outcomes in justice-involved youth: A discrete time survival mixture analysis,Sustainability-Inclusive
Predictors of Adolescents' First Episode of Homelessness Following Substance Use Treatment,Sustainability-Inclusive
Teen Dating Violence Perpetration: Protective Factor Trajectories from Middle to High School among Adolescents,Sustainability-Inclusive
"Family Violence, Sibling, and Peer Aggression During Adolescence: Associations With Behavioral Health Outcomes",Sustainability-Inclusive
Exposure to parental and community violence and the relationship to bullying perpetration and victimization among early adolescents: A parallel process growth mixture latent transition analysis,Sustainability-Inclusive
Examining social-ecological correlates of youth gang entry among serious juvenile offenders: A survival analysis,Sustainability-Inclusive
Longitudinal effects of adverse childhood experiences on substance use transition patterns during young adulthood,Sustainability-Inclusive
Applying Polyvictimization Theory to Veterans: Associations With Substance Use and Mental Health,Sustainability-Inclusive
Associations between psychosocial functioning and physical health in youth with maltreatment experiences,Sustainability-Inclusive
Changes in physical activity among united kingdom university students following the implementation of coronavirus lockdown measures,Sustainability-Inclusive
Sexual violence victimization among American college students studying abroad,Sustainability-Inclusive
Simultaneous Trajectories of Alcohol and Cannabis Use From Adolescence to Emerging Adulthood: Associations With Role Transitions and Functional Outcomes,Sustainability-Inclusive
"Sex work, gender transition, family rejection and depressive symptoms among transgender women in India",Sustainability-Inclusive
Effects of homophobic name-calling and verbal sexual harassment on substance use among young adults,Sustainability-Inclusive
Influences of poly-victimization on adolescents' pre-treatment cognitive motivations and post-treatment outcomes,Sustainability-Inclusive
Drug use trajectories among U.S. adults during the first year of the COVID-19 pandemic,Sustainability-Inclusive
A Longitudinal Study of Alcohol and Cannabis Use in Young Adulthood: Exploring Racial and Ethnic Differences in the Effects of Peer and Parental Influences From Middle Adolescence,Sustainability-Inclusive
Artificial intelligence to identify harmful alcohol use after early liver transplant for alcohol-associated hepatitis,Sustainability-Inclusive
"Polyvictimization, Sex Work, and Depressive Symptoms Among Transgender Women and Men Who Have Sex With Men",Sustainability-Inclusive
Mental health correlates of quitting cigarette smoking in youth experiencing homelessness,Sustainability-Inclusive
Sex differences in poly-victimization among youth experiencing homelessness prior to substance use treatment,Sustainability-Inclusive
Late Adolescent Predictors of Homelessness and Food Insecurity During Emerging Adulthood,Sustainability-Inclusive
Expanding adverse child experiences to inequality and racial discrimination,Sustainability-Inclusive
"Alcohol and Cannabis Use Trajectories and Outcomes in a Sample of Hispanic, White, and Asian Sexual and Gender Minority Emerging Adults",Sustainability-Inclusive
Multiple Minority Stress and Behavioral Health among Young Black and Latino Sexual Minority Men,Sustainability-Inclusive
Trajectories of Emerging Adults’ Binge Drinking and Depressive Symptoms and Associations With Sexual Violence Victimization: Examining Differences by Sexual and Gender Minority Status,Sustainability-Inclusive
Young Adults’ Perceived Impact of COVID-19 Pandemic on Sleep and Other Functioning: Does It Differ for Sexual/Gender and Racial/Ethnic Minorities?,Sustainability-Inclusive
Poly-Victimization and Opioid Use During Late Adolescence and Young Adulthood: Health Behavior Disparities and Protective Factors,Sustainability-Inclusive
Increased Risk for Sexual Violence Victimization on Drinking Days Involving Pregaming,Sustainability-Inclusive
Alcohol Use and Cannabis Use Trajectories and Sexual/Gender Minority Disparities in Young Adulthood,Sustainability-Inclusive
Do Recent Experiences of Sexual Violence and Co-Occurring Depression and Anxiety Symptoms Predict Poorer Functioning One Year Later During the Transition to Young Adulthood?,Sustainability-Inclusive
Regular Cannabis Use During the First Year of the Pandemic: Studying Trajectories Rather Than Prevalence,Sustainability-Inclusive
Development of a mobile mindfulness smartphone app for post-traumatic stress disorder and alcohol use problems for veterans: Beta test results and study protocol for a pilot randomized controlled trial,Sustainability-Inclusive
A Mobile-Based Pregaming Drinking Prevention Intervention for College Students: A Pilot Randomized Controlled Trial,Sustainability-Inclusive
Informing the development of interventions for e-cigarette use and prevention of transition to cigarette smoking in young adults: A qualitative study,Sustainability-Inclusive
"Unpacking disparities in substance-related outcomes among racial, ethnic, sexual, and gender minoritized groups during adolescence and emerging adulthood",Sustainability-Inclusive
Pain Trajectories among U.S. Veterans During COVID-19,Sustainability-Inclusive
Barriers and Facilitators to Behavioral Healthcare for Women Veterans: a Mixed-Methods Analysis of the Current Landscape,Sustainability-Inclusive
"A latent profile analysis of social anxiety, depression, and pregaming motives among heavy-drinking college students",Sustainability-Inclusive
Sexual Violence Victimization and Pregaming Protective Behavioral Strategies Among College Students,Sustainability-Inclusive
Multifaceted impulsivity as a moderator of social anxiety and cannabis use during pregaming,SDG-Related
"Predictors of Opioid Misuse During Emerging Adulthood: An Examination of Adolescent Individual, Family and Peer Factors",SDG-Related
Early and Late Adolescent Factors that Predict Co-use of Cannabis with Alcohol and Tobacco in Young Adulthood,SDG-Related
The influence of peer and parental norms on first-generation college students’ binge drinking trajectories,SDG-Related
"Individual, Family, and School Correlates across Patterns of High School Poly-substance Use",SDG-Related
"The Emerging Adult Reasons for Substance Use (EARS): Preliminary Support for Multidimensionality, Validity and Reliability",SDG-Related
"Substance use, depression, and loneliness among American veterans during the COVID-19 pandemic",SDG-Related
Distress tolerance and subsequent substance use throughout high school,SDG-Related
Screening for more with less: Validation of the Global Appraisal of Individual Needs Quick v3 (GAIN-Q3) screeners,SDG-Related
"American Veterans in the Era of COVID-19: Reactions to the Pandemic, Posttraumatic Stress Disorder, and Substance Use Behaviors",SDG-Related
Protective Behavioral Strategies and Alcohol Use While Pregaming: The Moderating Role of Depression and Anxiety Symptoms,SDG-Related
‘A functioning addict is still a kid:’ qualitative study of emerging adults in residential treatment,SDG-Related
Tobacco/nicotine and marijuana co-use motives in young adults: Associations with substance use behaviors one year later.,SDG-Related
Intra-familial Violence and Peer Aggression Among Early Adolescents: Moderating Role of School Sense of Belonging,SDG-Related
Egocentric Network Characteristics and Cannabis Use in aSample of Young Adult Medical Cannabis Patients and Nonpatient Users,SDG-Related
Moral injury events and behavioral health outcomes among American veterans,SDG-Related
Evaluating the Efficacy of the Drinks:Ration Mobile App to Reduce Alcohol Consumption in a Help-Seeking Military Veteran Population: Randomized Controlled Trial,SDG-Related
Mindful of personality trait change: Are treatment effects on personality trait change ephemeral and attributable to changes in states?,SDG-Related
"Cross-Lagged Associations of Insecure Attachment Style, Alcohol Use, and Sexual Behavior During Emerging Adulthood",SDG-Related
"Medicaid, Race, Utilization of Crisis Services at Community Mental Health Agencies",SDG-Related
"Associations between depression, stress, and e-cigarette use among OEF/OIF veterans",SDG-Related
"Substance Use, Financial Stress, Employment Disruptions, and Anxiety among Veterans during the COVID-19 Pandemic",SDG-Related
Adolescent Substance Use and Individual Beliefs That Drug Use Is Wrong: A Statewide Epidemiological Study,SDG-Related
Co-use of Tobacco Products and Cannabis among Veterans: A Preliminary Investigation of Prevalence and Associations with Mental Health Outcomes,SDG-Related
"Direct and Indirect Effects of Mindfulness, PTSD, and Depression on Self-Stigma of Mental Illness in OEF/OIF Veterans",SDG-Related
Examining Indirect Effects of Advertising Exposure on Young Adults’ Cannabis and Nicotine Vaping,SDG-Related
Childhood adversity and developmental trajectories of alcohol and cannabis co-use,SDG-Related
Cigarette Smoking and Depression Among U.S. Veterans: Longitudinal Associations With Posttraumatic Stress Disorder,SDG-Related
"Associations between trauma-related guilt, symptoms of posttraumatic stress disorder, and problematic alcohol use",SDG-Related
Parallel trajectories of vaping and smoking cannabis and their associations with mental and physical well-being among young adults,SDG-Related
A randomized controlled trial of recovery management checkups for primary care patients: Twelve-month results,SDG-Related
"Association of over the counter ""hangover remedy"" use with alcohol use problems and consumption patterns among young adults",SDG-Related
Characterizing Opioid Withdrawal Experiences and Consequences Among a Community Sample of People Who Use Opioids,SDG-Related
An Examination of Pregaming Behavior and Motives among Sexual and Gender Minority College Students,SDG-Related
"A Deeper Dive into Young Adults’ Experiences with E-Cigarettes, E-Cigarette Cessation, and Transitioning to Cigarette Smoking",SDG-Related
Sober Curiosity and Participation in Temporary Alcohol Abstinence Challenges in a Cohort of U.S. Emerging Adults,SDG-Related
Reducing Alcohol Misuse and Promoting Treatment Initiation Among Veterans Through a Brief Internet-Based Intervention: Protocol for a Randomized Controlled Trial,SDG-Related
"Characterizing the predictive validity of measures of susceptibility to future use of combustible, vaporized and edible cannabis products in adolescent never-users",Not-Related
Development of a Measure to Assess Protective Behavioral Strategies for Pregaming among Young Adults,Not-Related
Uploading risk: Examining the social profile of young adults most susceptible to engagement in risky social media challenges,Not-Related
"An examination of the prospective associations between objectively assessed exposure to alcohol-related Instagram content, alcohol-specific cognitions, and first-year college drinking",Not-Related
"Temporal, Sex-Specific, Social Media-Based Alcohol Influences during the Transition to College",Not-Related
A mobile-based pregaming drinking prevention intervention for college students: study protocol for a randomized controlled trial,Not-Related
Using recovery management checkups for primary care to improve linkage to alcohol and other drug use treatment: a randomized controlled trial three month findings,Not-Related
Order of Cannabis and Alcohol Use on Pregaming and Non-Pregaming Days Among College Students,Not-Related
